MaPhieuDG,MaHD,DiemPhucVu,DiemViTri,DiemMonAn,DiemKhongGian,DiemGiaCa
23754,145923,3,4,2,5,4
23755,17313,5,3,3,3,2
23756,151129,3,5,3,2,2
23757,142559,5,5,4,2,5
23758,250967,5,3,5,5,2
23759,190691,3,5,5,3,3
23760,242038,2,5,5,5,3
23761,286103,3,2,3,5,4
23762,96769,5,3,4,3,2
23763,251079,5,4,4,5,2
23764,247863,5,4,4,2,4
23765,70385,2,5,2,2,4
23766,270260,2,3,2,3,5
23767,1340,3,2,2,4,5
23768,184271,4,4,2,5,2
23769,188539,3,3,4,3,3
23770,241667,2,3,3,4,3
23771,129090,4,2,5,2,5
23772,87498,3,3,4,4,4
23773,229989,5,2,4,4,5
23774,63904,5,5,2,4,5
23775,25226,5,2,4,2,5
23776,151919,2,4,2,4,2
23777,282168,2,5,3,2,3
23778,5835,4,5,4,2,4
23779,87184,5,2,5,3,5
23780,267663,3,3,4,5,4
23781,188707,5,5,3,5,4
23782,10035,4,3,4,3,4
23783,38429,4,4,4,5,2
23784,168707,4,4,4,4,2
23785,57589,4,3,5,5,3
23786,68222,4,2,3,4,5
23787,206360,3,4,4,3,3
23788,62246,2,2,2,2,5
23789,43322,5,4,2,2,4
23790,133642,2,5,5,5,2
23791,152752,5,3,2,5,2
23792,184006,2,3,2,4,2
23793,265080,4,5,3,5,3
23794,182594,4,5,4,2,2
23795,19084,3,3,5,3,4
23796,263149,4,4,4,3,5
23797,297603,5,2,3,3,3
23798,294866,2,4,4,3,5
23799,162066,2,5,5,3,4
23800,278439,2,3,5,2,4
23801,221408,4,5,5,3,5
23802,243760,4,3,5,2,5
23803,261938,3,5,4,5,4
23804,84583,4,4,4,4,5
23805,230707,2,3,2,4,3
23806,123800,3,2,4,5,5
23807,213124,5,5,2,2,4
23808,28643,5,5,2,2,5
23809,156517,5,2,2,4,4
23810,148962,4,2,3,2,2
23811,96951,3,2,3,3,2
23812,274512,5,3,4,2,4
23813,2807,5,5,2,3,3
23814,190147,4,2,5,2,3
23815,267573,2,3,3,3,4
23816,100208,2,4,4,3,4
23817,154539,3,3,3,2,2
23818,29400,2,2,3,2,2
23819,3283,5,5,3,3,4
23820,212935,2,3,5,4,4
23821,231055,4,5,4,4,4
23822,253271,4,5,4,2,5
23823,97679,2,4,5,2,5
23824,192419,4,2,3,3,3
23825,189870,4,3,4,3,5
23826,222278,5,2,3,3,3
23827,79162,3,4,5,2,4
23828,183221,3,3,4,3,4
23829,183647,4,2,4,2,3
23830,133101,2,5,4,2,2
23831,175495,2,5,3,4,4
23832,67522,3,5,2,5,3
23833,109589,2,2,3,3,5
23834,267007,3,5,3,5,3
23835,259187,5,2,3,5,3
23836,118223,4,4,2,4,3
23837,129734,4,2,4,4,3
23838,109681,2,2,2,2,5
23839,49912,3,2,2,3,3
23840,38186,4,2,3,2,5
23841,284143,5,3,4,4,5
23842,257885,2,2,4,3,2
23843,288968,5,2,5,2,4
23844,3612,2,4,4,2,4
23845,151216,5,3,5,2,4
23846,87785,2,5,3,4,2
23847,294182,4,5,5,2,4
23848,138759,3,2,2,3,5
23849,106382,5,4,4,5,5
23850,299549,2,2,5,4,4
23851,296748,5,3,5,3,5
23852,76676,3,4,4,4,4
23853,25246,4,3,3,5,4
23854,189662,3,4,4,4,3
23855,105100,4,3,4,5,2
23856,261902,2,5,2,4,5
23857,21466,2,3,3,4,5
23858,123362,4,3,2,5,3
23859,281820,3,5,4,3,4
23860,166406,3,4,3,4,3
23861,81276,3,5,4,5,5
23862,107802,5,2,3,2,4
23863,46423,3,3,2,2,2
23864,263447,3,3,2,3,2
23865,101794,5,5,5,2,3
23866,233399,3,3,4,2,3
23867,213579,5,4,3,2,5
23868,125824,3,4,4,2,2
23869,203095,3,3,5,2,4
23870,192671,4,3,2,4,2
23871,222077,4,5,3,2,2
23872,47731,4,2,5,2,3
23873,208989,2,5,4,5,2
23874,271463,3,4,2,2,5
23875,167401,5,5,4,5,5
23876,141078,5,4,5,5,4
23877,147284,2,5,2,2,4
23878,271881,5,3,5,4,5
23879,117955,5,4,2,4,4
23880,228041,3,3,5,3,2
23881,197457,4,5,2,4,5
23882,90441,5,3,3,4,2
23883,70529,4,3,4,5,2
23884,214523,5,5,5,5,3
23885,255118,4,2,4,3,5
23886,120862,2,2,2,3,2
23887,148171,2,3,2,4,3
23888,40094,2,2,3,3,3
23889,125115,4,2,2,3,4
23890,160457,2,5,2,5,4
23891,238240,5,5,4,3,3
23892,40673,2,2,2,2,2
23893,220180,5,2,4,3,4
23894,81852,4,4,3,5,5
23895,212425,2,4,3,3,5
23896,106920,4,2,4,4,5
23897,29784,4,5,4,5,2
23898,42040,2,2,5,3,4
23899,3901,2,2,3,2,4
23900,226948,3,2,5,5,2
23901,138614,5,4,3,3,4
23902,37825,3,2,3,3,4
23903,182010,2,3,4,5,2
23904,22691,3,4,4,5,2
23905,3853,2,3,4,2,2
23906,263882,5,4,2,4,3
23907,120675,4,5,4,5,4
23908,204370,2,5,2,4,3
23909,73720,4,5,5,4,4
23910,238902,3,3,2,2,5
23911,55372,2,4,5,4,5
23912,82886,3,4,4,3,5
23913,25383,3,4,4,2,5
23914,120983,4,3,2,3,3
23915,237921,5,3,3,4,5
23916,137788,2,4,2,2,3
23917,84088,4,5,3,5,4
23918,292055,5,2,5,3,2
23919,199792,2,2,2,4,5
23920,234794,4,3,2,4,5
23921,37207,4,5,3,3,3
23922,67980,4,2,4,3,4
23923,140549,3,2,3,2,4
23924,45015,3,3,4,2,2
23925,297238,2,4,4,3,5
23926,269117,3,5,3,5,3
23927,172809,4,4,3,2,5
23928,106903,3,5,5,3,5
23929,129580,4,4,3,4,4
23930,208833,2,4,2,3,3
23931,89264,4,2,2,2,5
23932,281139,2,4,5,4,5
23933,221043,5,2,3,3,3
23934,133427,2,5,2,3,2
23935,28242,3,3,5,5,5
23936,264220,3,3,3,4,5
23937,5916,4,5,4,3,3
23938,230653,2,5,5,2,5
23939,4248,4,3,2,2,2
23940,241276,5,2,3,3,5
23941,208666,3,3,4,3,3
23942,118906,3,4,3,5,5
23943,161437,3,3,3,3,5
23944,73502,5,3,4,5,5
23945,61899,4,4,2,2,5
23946,5592,4,4,3,3,5
23947,38596,5,3,3,5,4
23948,58180,2,3,3,4,2
23949,49966,3,3,5,5,2
23950,63124,3,4,3,5,5
23951,250026,5,4,3,2,4
23952,120972,5,2,2,2,5
23953,275264,4,3,4,2,4
23954,41174,4,4,2,2,5
23955,80843,4,5,5,4,4
23956,286914,4,2,2,5,5
23957,267830,4,2,3,2,3
23958,53573,3,4,5,2,3
23959,172015,5,3,5,3,4
23960,30901,4,3,2,5,5
23961,147139,5,3,2,5,4
23962,121851,4,3,4,3,3
23963,231829,4,2,5,5,3
23964,109458,5,3,3,5,2
23965,146862,5,3,2,2,2
23966,260555,3,3,3,4,4
23967,102142,5,3,3,2,3
23968,143402,3,4,4,5,3
23969,66273,2,2,2,4,4
23970,74769,2,4,5,4,3
23971,33593,2,3,4,5,3
23972,298279,3,4,2,5,2
23973,193004,4,5,4,5,5
23974,169158,4,5,2,5,2
23975,297964,4,5,3,5,5
23976,88543,3,5,3,5,3
23977,266565,4,2,4,3,3
23978,283848,4,3,3,3,3
23979,259619,5,2,4,3,5
23980,66664,4,3,5,4,2
23981,87974,3,3,2,4,3
23982,52435,2,2,5,2,5
23983,85714,5,5,5,4,4
23984,16178,2,5,4,5,5
23985,281319,5,3,5,5,3
23986,16994,3,2,3,2,2
23987,122679,2,2,2,2,4
23988,177146,3,3,4,3,2
23989,134761,4,3,4,2,3
23990,188199,2,4,5,3,4
23991,237486,5,4,2,2,3
23992,192718,3,3,5,2,2
23993,42861,2,3,3,4,3
23994,151239,4,2,3,3,5
23995,237288,5,2,2,2,5
23996,230285,4,4,3,4,4
23997,252493,4,5,4,3,5
23998,18187,5,3,4,3,2
23999,254129,3,5,4,5,4
24000,138955,3,2,5,5,2
24001,231648,4,3,4,2,2
24002,299123,5,4,2,4,3
24003,7519,5,3,3,5,5
24004,37751,4,2,4,3,2
24005,138632,4,2,4,2,2
24006,215636,3,2,5,5,2
24007,290745,3,3,2,2,5
24008,178060,4,3,3,5,4
24009,139153,3,4,5,2,3
24010,294714,3,4,2,2,5
24011,171329,4,5,4,5,4
24012,262782,4,2,4,3,3
24013,268857,4,2,5,2,3
24014,237499,2,2,3,5,5
24015,48047,3,3,5,4,5
24016,3422,3,3,5,5,3
24017,291162,5,4,2,2,5
24018,268651,2,3,5,5,5
24019,226457,2,5,5,2,3
24020,157814,4,2,3,5,3
24021,44914,3,3,2,5,3
24022,246719,2,4,2,4,3
24023,97551,4,5,3,4,4
24024,157173,3,5,2,2,3
24025,51363,5,2,2,3,2
24026,294895,3,5,3,2,2
24027,280605,2,3,4,2,3
24028,100516,3,3,5,4,2
24029,29780,3,4,4,3,2
24030,145958,2,3,5,4,2
24031,291331,2,4,5,3,3
24032,32188,5,4,4,4,3
24033,90733,5,2,4,3,5
24034,275738,3,2,4,4,2
24035,293099,5,5,3,2,5
24036,193583,2,5,4,4,5
24037,13585,4,4,2,2,4
24038,19715,2,5,4,3,5
24039,92987,4,5,4,2,3
24040,88484,4,2,2,2,4
24041,262196,5,3,2,5,2
24042,62195,3,2,3,5,4
24043,197948,2,2,4,2,4
24044,64346,3,3,3,3,5
24045,956,4,3,3,4,5
24046,181168,2,2,5,5,5
24047,7672,5,2,5,4,4
24048,78154,4,5,5,2,5
24049,266875,4,2,5,5,2
24050,247161,4,2,4,2,3
24051,135665,4,4,3,5,5
24052,14913,2,3,4,2,5
24053,244317,3,4,3,4,5
24054,168808,3,3,3,5,3
24055,240022,4,4,5,3,3
24056,147722,2,4,4,5,3
24057,266333,4,4,3,4,4
24058,719,3,4,2,3,4
24059,229251,2,4,2,4,2
24060,210507,2,5,5,3,5
24061,185215,3,5,5,2,3
24062,241566,4,5,2,3,2
24063,266628,3,2,3,3,5
24064,293908,5,2,5,3,4
24065,160333,3,5,4,3,2
24066,296712,5,3,5,5,5
24067,294948,2,4,3,2,2
24068,242532,4,4,2,3,2
24069,191167,4,2,4,3,4
24070,110439,5,2,2,2,4
24071,5213,5,4,4,4,3
24072,258133,2,4,5,2,3
24073,260401,3,2,5,5,5
24074,155599,2,4,5,3,2
24075,83228,5,2,3,3,3
24076,12114,5,5,5,5,5
24077,51117,3,3,5,5,2
24078,67425,2,2,4,3,3
24079,283006,5,5,4,5,5
24080,35459,4,4,4,2,4
24081,276012,4,3,5,5,3
24082,166580,3,4,4,4,3
24083,84844,4,2,4,2,5
24084,260541,3,4,2,5,3
24085,41001,3,5,5,3,3
24086,157083,4,4,5,3,2
24087,56965,3,5,4,5,2
24088,15761,2,2,2,5,3
24089,37779,5,3,4,5,5
24090,171862,5,3,2,4,2
24091,112815,4,5,5,4,2
24092,83682,2,4,4,3,4
24093,219194,3,4,5,2,2
24094,257132,5,5,2,5,3
24095,281940,5,2,4,2,3
24096,99142,2,4,2,5,4
24097,125820,4,2,3,3,5
24098,15299,2,4,4,2,3
24099,70100,5,4,2,3,5
24100,213637,5,2,2,5,4
24101,11839,4,4,3,2,4
24102,149654,5,3,3,5,3
24103,298022,4,2,3,5,5
24104,257793,5,3,4,5,2
24105,116992,3,2,2,5,4
24106,210865,2,5,5,5,5
24107,252361,3,5,4,3,3
24108,289562,5,3,3,3,5
24109,207760,5,3,5,2,2
24110,61266,5,4,5,4,2
24111,196220,5,4,2,3,4
24112,53235,2,3,4,2,4
24113,279503,5,2,4,5,4
24114,210265,5,2,5,3,2
24115,52940,2,5,4,4,3
24116,221018,4,2,5,4,4
24117,266623,2,4,5,3,4
24118,247406,3,3,2,3,2
24119,78293,3,5,4,2,5
24120,192015,2,3,4,4,4
24121,246723,4,3,5,3,5
24122,167499,4,2,3,3,2
24123,39834,5,3,5,5,3
24124,34053,3,3,5,5,4
24125,120757,2,3,2,2,4
24126,298814,2,4,3,2,5
24127,3539,3,2,4,3,5
24128,85342,2,5,5,4,3
24129,195432,2,5,5,3,2
24130,212127,2,3,3,3,5
24131,263751,4,5,4,2,4
24132,242170,2,5,3,4,3
24133,85591,4,2,4,4,2
24134,182044,3,4,2,3,4
24135,183559,2,4,5,3,4
24136,104487,4,2,2,5,4
24137,95238,5,2,4,5,3
24138,285682,3,3,5,4,5
24139,138510,4,2,2,3,4
24140,35778,2,3,2,3,3
24141,64696,3,4,4,5,3
24142,238333,4,4,5,3,4
24143,105685,3,5,3,2,5
24144,184389,2,3,4,5,4
24145,167613,5,4,4,5,3
24146,143416,5,4,2,4,3
24147,91278,5,3,4,4,4
24148,82475,2,3,4,2,4
24149,27949,4,4,4,3,3
24150,1462,4,3,5,2,3
24151,194965,2,5,4,5,4
24152,220215,4,3,4,4,4
24153,267715,5,5,3,5,3
24154,76867,5,5,3,2,4
24155,24260,4,5,5,5,2
24156,281795,3,2,5,2,3
24157,132122,2,5,5,5,5
24158,33853,4,4,2,4,3
24159,149709,2,3,3,4,3
24160,33093,5,3,3,5,3
24161,153146,5,2,4,4,5
24162,67703,2,2,4,2,5
24163,17039,3,2,2,4,4
24164,126609,4,4,5,4,3
24165,185319,3,4,5,5,4
24166,21652,3,2,3,4,4
24167,294105,5,5,4,3,4
24168,278024,3,2,4,2,5
24169,15330,4,5,4,2,3
24170,65583,3,2,5,5,5
24171,37712,5,3,5,4,5
24172,141732,3,3,3,3,3
24173,188203,2,4,5,2,3
24174,271795,2,4,4,2,3
24175,108151,3,5,2,4,5
24176,129903,4,3,3,3,5
24177,196274,5,2,3,5,2
24178,139759,2,5,5,4,5
24179,298476,5,4,4,5,2
24180,54456,2,5,3,3,2
24181,222887,5,3,2,4,3
24182,269008,2,4,2,3,3
24183,174834,5,2,3,4,3
24184,201108,2,4,2,3,3
24185,151016,3,4,3,4,3
24186,260469,4,2,4,3,5
24187,221721,5,5,4,2,3
24188,283050,5,4,5,4,3
24189,204936,5,3,5,2,4
24190,108674,4,3,5,2,3
24191,263823,5,5,2,3,4
24192,95448,2,4,2,5,4
24193,295110,5,5,2,5,2
24194,74973,4,2,5,5,5
24195,78873,2,2,2,3,4
24196,13820,4,3,3,5,2
24197,54692,3,3,2,5,5
24198,268977,2,3,4,3,5
24199,32080,4,5,5,2,4
24200,17320,4,3,3,2,4
24201,241849,3,5,2,3,5
24202,241825,2,2,4,4,5
24203,53870,4,5,4,5,3
24204,68016,3,4,5,2,4
24205,267793,2,3,4,2,4
24206,166444,4,4,2,4,2
24207,232681,2,2,4,2,5
24208,12652,3,2,3,3,2
24209,214716,2,4,5,4,4
24210,192830,4,5,2,3,3
24211,97955,4,5,4,2,2
24212,267531,2,2,4,4,2
24213,100498,4,4,5,4,5
24214,245914,4,5,3,3,4
24215,249777,3,5,2,4,2
24216,229745,4,3,3,3,2
24217,183695,5,4,4,4,4
24218,158913,2,3,3,3,4
24219,259514,4,3,5,4,4
24220,10125,4,4,2,3,3
24221,198569,3,5,5,5,5
24222,75778,5,4,4,2,2
24223,292845,4,4,4,5,5
24224,289058,4,2,5,4,5
24225,8803,5,4,3,5,4
24226,69408,5,5,4,5,2
24227,15986,4,2,4,5,2
24228,99310,3,3,2,2,3
24229,103955,2,5,3,4,4
24230,278645,4,3,3,5,5
24231,150216,3,3,5,4,3
24232,42289,3,3,3,3,5
24233,196445,5,2,4,5,5
24234,233224,3,5,2,2,2
24235,236498,3,5,4,4,4
24236,9459,2,2,2,2,2
24237,145691,5,4,3,3,3
24238,172329,5,4,5,4,5
24239,158825,5,4,5,3,3
24240,167689,4,5,5,2,4
24241,61605,2,5,2,2,3
24242,51325,3,4,5,5,2
24243,168322,2,3,4,2,2
24244,290011,4,3,2,4,4
24245,176066,2,2,3,4,3
24246,255659,5,4,4,4,2
24247,171139,2,4,3,3,3
24248,195127,5,5,5,5,4
24249,288072,3,2,5,5,3
24250,119657,5,2,5,2,2
24251,279843,3,4,3,5,2
24252,284791,2,4,2,3,5
24253,205312,3,3,4,5,3
24254,67921,4,5,2,4,3
24255,109635,5,3,5,4,2
24256,40369,2,3,2,2,5
24257,142333,2,5,2,5,5
24258,227323,3,4,4,4,5
24259,107371,5,5,5,3,4
24260,186427,5,4,3,2,2
24261,150289,5,4,4,3,5
24262,198567,4,3,4,5,4
24263,180592,5,5,5,3,3
24264,241937,3,5,2,3,5
24265,231658,5,3,5,5,5
24266,81372,4,3,5,2,5
24267,106816,2,5,4,4,5
24268,277304,5,4,5,4,3
24269,269592,3,2,3,2,5
24270,260859,2,2,3,5,5
24271,37405,3,5,5,5,3
24272,104369,5,4,4,4,3
24273,121837,4,2,3,3,4
24274,264700,4,3,2,5,5
24275,139312,5,5,2,3,2
24276,206996,2,4,2,5,2
24277,147136,3,4,3,3,4
24278,194303,3,4,2,5,3
24279,260602,4,5,2,5,5
24280,219073,5,5,3,5,2
24281,11983,5,3,5,3,4
24282,142908,5,2,2,5,2
24283,12937,5,2,4,4,5
24284,247040,2,4,2,2,3
24285,142015,5,2,4,2,5
24286,220523,2,4,2,3,3
24287,59748,5,5,4,2,4
24288,291781,3,5,5,5,4
24289,297038,5,5,2,2,3
24290,130876,2,3,3,3,3
24291,285397,5,3,5,2,5
24292,234154,2,3,5,2,2
24293,36471,3,3,4,4,3
24294,61240,3,3,2,2,2
24295,173436,5,5,2,3,5
24296,81341,4,4,5,5,3
24297,268814,5,5,3,3,3
24298,53966,2,2,2,3,3
24299,117413,2,4,2,3,5
24300,227031,5,4,2,5,2
24301,123725,5,4,5,4,4
24302,30361,4,4,2,5,2
24303,20372,3,3,2,4,4
24304,286454,2,4,4,2,5
24305,134432,3,5,5,4,5
24306,279061,2,5,3,2,4
24307,2998,3,2,5,4,5
24308,293830,3,5,2,3,4
24309,115724,2,5,2,5,5
24310,191466,2,3,4,3,3
24311,2725,2,4,3,2,3
24312,178507,3,4,5,3,5
24313,165063,3,2,5,4,2
24314,240147,4,5,4,3,4
24315,254533,5,5,2,3,4
24316,112377,4,3,5,5,3
24317,44539,5,5,5,4,3
24318,224170,3,2,5,5,3
24319,192815,5,4,3,2,3
24320,139925,4,5,5,3,2
24321,205480,4,5,2,5,5
24322,283844,2,2,4,5,4
24323,216296,4,4,2,4,5
24324,11367,2,5,4,2,4
24325,22898,2,3,3,2,5
24326,167935,3,2,2,2,2
24327,162622,5,3,4,4,4
24328,102852,4,2,2,5,5
24329,170755,5,5,5,2,2
24330,31009,2,3,4,2,4
24331,3490,4,4,3,3,2
24332,191412,2,3,5,3,5
24333,98948,4,2,2,3,5
24334,1385,5,4,4,3,3
24335,150486,5,2,5,4,2
24336,34561,4,4,4,3,4
24337,112026,5,4,5,3,3
24338,218641,5,5,4,2,4
24339,223781,2,3,3,3,2
24340,139906,3,2,5,2,2
24341,227451,3,3,3,2,5
24342,219793,3,4,4,5,2
24343,121884,4,3,5,2,5
24344,46300,4,5,2,2,2
24345,70984,2,4,5,4,5
24346,112380,5,5,2,3,3
24347,61335,5,3,4,3,3
24348,213513,2,4,5,2,5
24349,36831,5,4,4,5,2
24350,149911,3,3,5,4,3
24351,143064,3,4,3,3,3
24352,288533,5,5,2,4,4
24353,33738,2,3,3,4,2
24354,58359,2,2,4,5,5
24355,299659,5,3,3,4,3
24356,246207,4,3,2,4,2
24357,118279,4,3,4,2,5
24358,238129,4,3,5,3,4
24359,145025,4,3,3,3,5
24360,51621,3,5,2,2,4
24361,133813,2,2,4,4,4
24362,3927,2,5,2,3,2
24363,16074,3,4,2,5,3
24364,88084,2,5,5,2,4
24365,177499,2,2,3,4,4
24366,67123,2,5,5,4,3
24367,3289,4,3,5,5,3
24368,172761,2,2,3,2,4
24369,230541,5,5,3,2,4
24370,170307,4,3,5,5,3
24371,61279,5,5,2,3,3
24372,114985,5,3,5,2,5
24373,138085,3,5,5,5,2
24374,5482,5,2,5,5,5
24375,168902,5,5,3,4,3
24376,195341,5,3,3,4,3
24377,97784,5,4,2,3,3
24378,32627,3,3,2,2,2
24379,206317,2,4,3,4,5
24380,240153,4,4,5,5,3
24381,247208,5,2,5,4,3
24382,296540,5,3,3,5,5
24383,135341,2,3,3,5,2
24384,223161,4,2,3,4,5
24385,243678,3,4,5,5,5
24386,211420,4,2,2,4,3
24387,47378,3,3,5,2,3
24388,78145,5,5,3,3,2
24389,230684,2,3,4,4,4
24390,220378,4,5,3,3,2
24391,21460,2,2,3,3,4
24392,89260,3,5,3,2,5
24393,29016,4,2,4,5,3
24394,113308,5,4,3,3,4
24395,187137,4,4,3,4,2
24396,235678,5,3,3,4,3
24397,251941,5,3,5,4,2
24398,136384,2,4,2,4,5
24399,169565,2,4,4,5,2
24400,16210,2,2,5,3,4
24401,64921,3,4,2,3,2
24402,27502,5,2,2,4,4
24403,273087,5,4,3,3,4
24404,295510,4,5,2,2,5
24405,129804,4,5,5,5,2
24406,104815,3,5,5,2,2
24407,10797,4,5,3,2,3
24408,280738,5,3,3,3,5
24409,88175,3,5,5,4,3
24410,275457,5,4,5,3,4
24411,57326,3,3,2,5,4
24412,192598,2,3,4,3,3
24413,143639,4,3,2,4,2
24414,53398,3,5,5,5,5
24415,167107,4,3,4,5,4
24416,194086,4,3,4,4,2
24417,249496,3,5,2,2,3
24418,62718,4,4,5,3,3
24419,11836,2,2,2,5,5
24420,87996,4,4,5,4,5
24421,24611,3,2,2,4,3
24422,45845,4,3,5,3,2
24423,7097,5,2,3,5,2
24424,222796,4,2,2,4,5
24425,284396,5,2,5,3,4
24426,267523,3,4,4,2,4
24427,22111,3,2,3,2,4
24428,299843,4,2,2,4,3
24429,91543,3,5,3,4,4
24430,120944,2,4,5,4,3
24431,59654,2,3,3,5,4
24432,226084,3,5,4,5,4
24433,19980,4,4,3,3,3
24434,78494,4,3,5,5,3
24435,54915,5,3,3,4,2
24436,227992,2,4,5,4,2
24437,85660,3,2,3,5,4
24438,213364,5,3,3,3,2
24439,116095,2,5,3,2,4
24440,186961,5,5,2,4,2
24441,175529,5,2,3,3,5
24442,108284,4,2,3,5,3
24443,58679,3,2,3,2,4
24444,49427,4,2,2,3,4
24445,299481,4,3,2,2,5
24446,299601,5,4,5,4,4
24447,15531,2,5,3,2,2
24448,222981,3,4,2,5,5
24449,63805,4,2,5,2,2
24450,136546,5,3,2,2,5
24451,214355,2,3,3,5,4
24452,108378,3,3,4,2,2
24453,8646,2,3,5,4,5
24454,205627,3,3,4,4,3
24455,50906,3,2,3,3,3
24456,67184,2,4,3,3,2
24457,126395,3,4,2,5,4
24458,47954,2,4,3,3,5
24459,151765,2,4,4,4,2
24460,276748,4,4,4,5,2
24461,12619,5,3,4,2,2
24462,298165,2,3,5,4,4
24463,105287,4,4,2,2,4
24464,73946,4,3,5,4,3
24465,194346,5,5,5,3,5
24466,246419,3,3,3,5,2
24467,183217,2,3,4,3,3
24468,214062,2,5,4,5,3
24469,186727,5,3,4,4,3
24470,197552,3,5,3,5,5
24471,213405,3,2,3,3,2
24472,289997,4,2,2,2,5
24473,255563,3,3,3,3,4
24474,124743,3,4,5,4,2
24475,72205,2,5,5,3,5
24476,659,3,4,5,2,3
24477,100964,2,5,2,2,3
24478,138986,2,5,3,3,2
24479,5794,2,5,4,5,5
24480,240808,2,2,5,5,4
24481,98507,4,3,5,3,4
24482,291930,4,4,4,2,5
24483,123962,2,5,4,2,3
24484,210154,3,4,5,4,5
24485,13031,4,5,4,5,5
24486,4039,3,3,3,4,5
24487,294398,5,5,4,4,2
24488,188040,4,3,2,3,4
24489,231753,2,2,3,5,2
24490,138363,3,5,5,5,5
24491,184293,3,4,5,4,2
24492,283812,5,5,5,3,2
24493,134469,5,3,3,3,3
24494,25279,5,5,3,3,4
24495,225333,2,2,5,5,4
24496,214985,4,5,5,3,5
24497,149460,3,3,5,4,5
24498,193619,5,5,3,4,4
24499,8638,4,5,2,4,2
24500,200008,5,2,2,5,5
24501,156468,2,5,4,2,5
24502,299197,2,3,3,4,5
24503,145869,3,2,3,2,3
24504,48609,5,3,5,2,3
24505,157611,2,5,3,5,5
24506,123794,5,4,5,2,5
24507,274214,2,5,5,4,3
24508,10385,2,4,5,5,3
24509,276302,4,3,3,5,5
24510,100989,3,4,2,4,4
24511,114106,4,5,3,5,4
24512,155144,2,2,3,5,4
24513,190234,4,3,3,2,3
24514,292566,4,3,2,2,5
24515,150878,5,5,4,4,3
24516,207698,3,4,2,2,5
24517,127529,3,2,4,4,4
24518,110065,5,4,5,2,3
24519,156967,2,2,3,5,2
24520,271451,5,3,2,2,3
24521,298720,4,2,5,4,3
24522,55645,3,3,2,4,2
24523,151345,4,3,4,2,5
24524,209282,3,2,5,5,5
24525,177674,5,3,2,3,2
24526,150326,5,5,2,4,4
24527,113922,3,2,4,5,3
24528,3180,4,4,3,2,4
24529,208397,3,3,3,3,3
24530,100435,2,2,2,2,4
24531,268715,2,4,2,3,2
24532,172821,5,4,4,3,5
24533,251150,4,3,3,5,3
24534,183171,4,3,3,4,5
24535,43083,4,3,2,3,2
24536,209308,4,3,4,2,3
24537,63459,5,5,4,5,2
24538,191059,4,5,2,5,5
24539,74136,4,3,5,3,4
24540,279085,2,5,4,2,3
24541,285278,5,2,5,3,3
24542,148026,5,2,3,4,5
24543,106549,2,2,5,5,3
24544,152380,3,4,2,2,2
24545,246198,3,5,2,3,2
24546,84997,3,2,4,5,2
24547,274850,4,4,3,2,2
24548,255702,5,3,5,3,2
24549,205514,5,5,5,4,5
24550,8504,4,4,3,3,2
24551,10888,2,2,4,4,5
24552,49033,3,4,5,4,4
24553,259870,3,4,5,5,3
24554,111696,2,3,3,5,2
24555,53637,2,3,4,3,3
24556,174752,5,5,4,2,4
24557,211848,5,5,4,2,3
24558,22425,5,3,4,4,3
24559,5212,2,4,5,4,5
24560,176177,2,2,2,4,2
24561,36279,4,5,3,2,5
24562,31034,2,2,3,3,4
24563,52729,3,3,2,2,2
24564,74421,2,2,5,4,2
24565,111138,3,4,4,3,2
24566,211827,5,4,3,2,4
24567,66441,2,2,5,4,5
24568,287369,4,3,2,4,5
24569,151198,5,4,4,5,5
24570,87509,5,3,4,2,2
24571,254625,4,5,5,3,4
24572,290657,3,3,2,4,2
24573,106700,2,5,2,2,2
24574,102024,4,5,4,4,4
24575,177212,5,5,2,3,2
24576,122092,3,2,4,5,5
24577,121824,2,3,2,2,2
24578,141493,3,4,5,2,2
24579,199367,2,4,4,5,2
24580,160942,2,3,3,5,2
24581,282846,5,2,4,2,5
24582,147424,4,5,5,2,5
24583,159933,2,3,4,4,2
24584,259631,4,2,2,2,2
24585,285148,5,3,3,2,4
24586,123535,3,2,5,5,5
24587,142896,2,2,4,3,4
24588,36881,2,2,3,4,3
24589,71822,4,4,4,4,3
24590,182314,5,5,4,2,5
24591,31913,2,2,4,5,5
24592,16315,3,2,4,3,3
24593,263504,4,2,2,3,4
24594,19430,5,4,4,5,4
24595,147931,3,2,2,4,4
24596,284822,2,4,2,2,4
24597,170019,5,2,5,2,4
24598,253850,5,2,4,4,5
24599,263222,2,4,3,3,5
24600,99320,3,4,4,3,2
24601,214367,5,3,4,5,3
24602,254747,4,5,2,3,2
24603,167194,5,2,3,2,2
24604,115881,5,4,2,2,4
24605,1087,4,5,4,4,3
24606,170150,3,4,2,4,3
24607,68098,2,5,4,4,4
24608,84712,4,5,2,3,3
24609,211346,2,2,2,2,3
24610,114203,5,4,2,4,2
24611,99948,4,2,3,5,5
24612,192406,4,2,2,5,5
24613,273147,5,2,3,5,3
24614,147312,2,4,2,4,3
24615,257690,5,4,4,5,3
24616,71960,5,2,4,3,4
24617,79552,3,2,5,2,5
24618,84277,3,2,3,3,3
24619,115584,3,3,5,3,5
24620,149082,5,4,4,2,4
24621,221202,3,5,4,2,5
24622,109081,5,2,3,2,4
24623,12830,4,2,3,3,5
24624,165458,4,2,4,3,2
